DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
06-Mar-2026,EQ,"2,245.10","2,250.00","2,219.50","2,255.00","2,223.10","2,225.70","2,229.55","2,479.60","2,219.50",1674258,"3,73,28,36,889.50",134825
05-Mar-2026,EQ,"2,275.50","2,277.80","2,228.40","2,261.30","2,254.90","2,255.00","2,245.23","2,479.60","2,228.40",1751288,"3,93,20,38,615.60",148905
04-Mar-2026,EQ,"2,292.90","2,311.60","2,252.10","2,320.60","2,260.00","2,261.30","2,284.98","2,479.60","2,244.70",2648737,"6,05,23,10,332.80",139227
02-Mar-2026,EQ,"2,303.00","2,354.00","2,290.20","2,338.10","2,320.00","2,320.60","2,313.19","2,479.60","2,244.70",2273224,"5,25,83,89,732.30",162389
27-Feb-2026,EQ,"2,369.30","2,378.90","2,330.60","2,383.30","2,340.00","2,338.10","2,342.97","2,479.60","2,244.70",3053227,"7,15,36,25,939.80",94884
26-Feb-2026,EQ,"2,378.00","2,387.30","2,355.20","2,374.90","2,380.20","2,383.30","2,373.79","2,479.60","2,244.70",1470677,"3,49,10,72,288.60",80564
25-Feb-2026,EQ,"2,368.90","2,380.00","2,349.00","2,358.60","2,374.20","2,374.90","2,368.34","2,479.60","2,244.70",1158620,"2,74,40,01,485.40",63805
24-Feb-2026,EQ,"2,331.10","2,372.00","2,330.30","2,345.40","2,364.80","2,358.60","2,358.14","2,479.60","2,244.70",1544803,"3,64,28,59,564.00",63566
23-Feb-2026,EQ,"2,325.00","2,350.00","2,320.80","2,314.50","2,349.00","2,345.40","2,338.97","2,479.60","2,244.70",1300035,"3,04,07,45,720.30",53416
20-Feb-2026,EQ,"2,285.00","2,331.20","2,278.30","2,279.30","2,318.30","2,314.50","2,315.18","2,479.60","2,244.70",1716316,"3,97,35,76,871.50",43733
19-Feb-2026,EQ,"2,336.00","2,337.40","2,275.60","2,323.50","2,282.00","2,279.30","2,298.01","2,479.60","2,244.70",940180,"2,16,05,41,227.00",69486
18-Feb-2026,EQ,"2,312.60","2,328.90","2,306.00","2,312.30","2,326.00","2,323.50","2,318.07","2,479.60","2,244.70",830787,"1,92,58,22,420.90",49162
17-Feb-2026,EQ,"2,309.30","2,326.00","2,303.40","2,319.00","2,312.90","2,312.30","2,311.79","2,479.60","2,244.70",1233244,"2,85,10,02,725.60",54398
16-Feb-2026,EQ,"2,308.10","2,327.00","2,288.10","2,305.20","2,318.30","2,319.00","2,310.73","2,479.60","2,244.70",2036833,"4,70,65,63,341.40",77469
13-Feb-2026,EQ,"2,400.00","2,400.00","2,300.30","2,409.70","2,305.00","2,305.20","2,334.20","2,479.60","2,244.70",2791519,"6,51,59,61,587.80",123670
12-Feb-2026,EQ,"2,475.00","2,479.60","2,350.10","2,462.90","2,407.00","2,409.70","2,410.74","2,479.60","2,244.70",4656164,"11,22,47,96,563.50",222978
11-Feb-2026,EQ,"2,460.00","2,470.60","2,447.00","2,453.60","2,457.70","2,462.90","2,462.38","2,470.60","2,244.70",1137856,"2,80,18,31,380.50",56393
10-Feb-2026,EQ,"2,435.00","2,458.10","2,430.10","2,435.00","2,449.50","2,453.60","2,446.37","2,458.10","2,244.70",792532,"1,93,88,28,440.50",48233
09-Feb-2026,EQ,"2,425.00","2,439.00","2,402.00","2,424.20","2,430.00","2,435.00","2,424.79","2,439.00","2,244.70",958484,"2,32,41,25,611.90",51331
