DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
06-Mar-2026,EQ,"310.05","312.30","309.20","311.50","309.95","309.70","310.40","444.20","302.00",21288269,"6,60,78,51,781.95",212819
05-Mar-2026,EQ,"312.20","313.60","308.20","311.95","311.65","311.50","310.70","444.20","302.00",19938009,"6,19,48,01,511.75",206179
04-Mar-2026,EQ,"310.60","315.50","310.50","314.90","311.95","311.95","312.43","444.20","302.00",24165489,"7,55,00,27,631.80",281005
02-Mar-2026,EQ,"307.00","315.75","307.00","313.60","314.70","314.90","313.07","444.20","302.00",22194311,"6,94,83,00,891.05",250280
27-Feb-2026,EQ,"316.00","317.75","312.65","318.30","314.20","313.60","314.74","444.20","302.00",13892595,"4,37,24,95,896.70",188463
26-Feb-2026,EQ,"320.00","321.40","317.60","319.75","318.45","318.30","318.98","444.20","302.00",11270119,"3,59,49,34,700.80",166420
25-Feb-2026,EQ,"325.50","326.60","318.10","323.50","319.20","319.75","321.05","444.20","302.00",13492101,"4,33,16,78,210.95",143953
24-Feb-2026,EQ,"324.00","325.40","322.05","325.40","324.20","323.50","323.47","444.20","302.00",13135859,"4,24,90,87,939.95",170638
23-Feb-2026,EQ,"327.00","328.10","324.40","327.00","325.65","325.40","325.58","444.20","302.00",13486092,"4,39,07,80,982.05",118812
20-Feb-2026,EQ,"325.05","327.85","325.05","326.00","327.20","327.00","326.79","444.20","302.00",11282027,"3,68,68,34,270.95",95724
19-Feb-2026,EQ,"334.05","334.25","325.00","332.45","325.80","326.00","329.01","444.20","302.00",19911747,"6,55,10,69,293.75",169746
18-Feb-2026,EQ,"326.00","332.95","324.80","325.45","332.65","332.45","330.36","444.20","302.00",35473203,"11,71,90,43,134.90",228303
17-Feb-2026,EQ,"318.45","328.05","318.15","317.95","325.40","325.45","324.94","444.20","302.00",39360672,"12,78,97,37,872.30",246283
16-Feb-2026,EQ,"313.75","318.25","313.15","313.75","318.10","317.95","316.61","444.20","302.00",11693763,"3,70,23,90,906.10",132407
13-Feb-2026,EQ,"316.00","318.40","313.25","317.45","313.60","313.75","315.37","444.20","302.00",8730618,"2,75,33,41,305.65",131785
12-Feb-2026,EQ,"317.30","320.40","316.90","318.25","317.50","317.45","318.28","444.20","302.00",13294561,"4,23,14,13,265.15",155726
11-Feb-2026,EQ,"321.95","322.20","316.30","321.40","318.10","318.25","317.45","444.20","302.00",24843366,"7,88,65,24,787.95",168577
10-Feb-2026,EQ,"323.00","323.55","320.75","322.80","321.25","321.40","321.76","444.20","302.00",11489090,"3,69,67,75,555.25",146227
09-Feb-2026,EQ,"327.95","328.70","321.65","325.80","322.70","322.80","323.66","444.20","302.00",20059198,"6,49,23,54,416.30",169853
06-Feb-2026,EQ,"310.00","327.70","308.30","310.20","326.35","325.80","322.67","465.20","302.00",68057745,"21,95,98,53,321.30",358377
05-Feb-2026,EQ,"313.95","315.35","309.30","313.85","310.10","310.20","310.96","465.20","302.00",15816704,"4,91,83,77,985.90",263742
04-Feb-2026,EQ,"312.50","314.95","311.35","316.65","313.85","313.85","313.67","465.20","302.00",11196759,"3,51,20,93,652.60",171556
03-Feb-2026,EQ,"321.20","324.75","311.60","314.70","316.95","316.65","315.87","465.20","302.00",33168353,"10,47,70,03,433.80",252922
02-Feb-2026,EQ,"309.45","315.40","302.00","309.45","314.55","314.70","308.57","465.20","302.00",35227572,"10,87,03,08,122.70",365578
01-Feb-2026,EQ,"324.60","324.60","306.05","322.15","308.15","309.45","314.62","471.50","306.05",33278995,"10,47,01,59,897.55",352370
30-Jan-2026,EQ,"318.80","325.15","316.45","318.60","322.30","322.15","321.82","471.50","316.45",41975824,"13,50,87,58,883.65",255515
29-Jan-2026,EQ,"322.60","322.60","318.05","321.15","318.80","318.60","318.98","471.50","317.85",17719420,"5,65,20,76,130.50",167761
28-Jan-2026,EQ,"319.95","323.70","319.35","318.65","321.40","321.15","321.10","471.50","317.85",28400238,"9,11,92,02,270.50",175716
27-Jan-2026,EQ,"323.60","324.70","317.85","323.40","319.80","318.65","320.05","471.50","317.85",47847784,"15,31,38,89,340.85",291334
23-Jan-2026,EQ,"325.55","326.40","322.70","324.85","323.00","323.40","324.48","471.50","321.05",11950089,"3,87,76,10,831.50",147883
22-Jan-2026,EQ,"326.10","328.70","321.05","324.75","325.55","324.85","325.12","471.50","321.05",18622852,"6,05,46,14,413.45",214762
21-Jan-2026,EQ,"326.00","329.30","324.35","326.30","325.05","324.75","326.02","471.50","324.35",14177965,"4,62,23,34,427.75",212066
20-Jan-2026,EQ,"334.05","334.50","325.50","333.20","326.15","326.30","329.59","471.50","325.50",18771011,"6,18,66,67,084.45",224010
19-Jan-2026,EQ,"330.00","334.65","327.30","329.20","332.80","333.20","331.90","471.50","327.30",15507440,"5,14,68,96,960.75",182190
16-Jan-2026,EQ,"337.50","337.50","328.55","334.75","329.00","329.20","331.06","471.50","328.55",30526898,"10,10,61,42,548.80",344862
14-Jan-2026,EQ,"336.00","336.00","333.45","334.70","334.85","334.75","334.90","471.50","333.45",14913422,"4,99,45,08,399.30",206398
13-Jan-2026,EQ,"339.00","339.50","333.70","338.40","334.30","334.70","335.34","471.50","333.70",24922339,"8,35,75,06,586.55",237948
12-Jan-2026,EQ,"338.25","339.50","335.80","337.15","338.00","338.40","337.78","471.50","335.80",16156143,"5,45,72,35,038.85",213285
